# danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
7.289999999999999813e-01,5.330000000000000293e-01,9.000000000000000000e+00,-1.010399999999999920e+01,0.000000000000000000e+00,4.440000000000000058e-01,7.469999999999999973e-01,4.539999999999999731e-06,8.480000000000000038e-02,4.219999999999999862e-01,1.559989999999999952e+02,2.259530000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
5.709999999999999520e-01,9.959999999999999964e-01,1.000000000000000000e+01,-4.907000000000000028e+00,0.000000000000000000e+00,2.149999999999999967e-01,4.929999999999999893e-05,6.009999999999999787e-01,1.869999999999999996e-01,4.680000000000000132e-02,9.499200000000000443e+01,2.116930000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000100e-01,4.870000000000000023e-02,5.000000000000000000e+00,-2.767500000000000071e+01,1.000000000000000000e+00,4.120000000000000051e-02,9.859999999999999876e-01,9.449999999999999512e-01,6.790000000000000202e-02,1.010000000000000064e-01,1.348389999999999986e+02,2.036560000000000000e+05,5.000000000000000000e+00,0.000000000000000000e+00
1.910000000000000031e-01,3.169999999999999901e-02,9.000000000000000000e+00,-3.561599999999999966e+01,0.000000000000000000e+00,4.070000000000000007e-02,9.839999999999999858e-01,8.880000000000000115e-01,9.740000000000000047e-02,1.419999999999999873e-01,1.359739999999999895e+02,1.507330000000000000e+05,3.000000000000000000e+00,0.000000000000000000e+00
6.989999999999999547e-01,6.099999999999999867e-01,9.000000000000000000e+00,-6.900000000000000355e+00,1.000000000000000000e+00,2.310000000000000109e-01,1.529999999999999893e-03,1.749999999999999974e-06,3.689999999999999947e-01,5.769999999999999574e-01,1.701030000000000086e+02,2.040000000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
5.919999999999999707e-01,3.709999999999999964e-01,9.000000000000000000e+00,-9.964999999999999858e+00,0.000000000000000000e+00,4.370000000000000273e-02,4.000000000000000222e-01,3.669999999999999760e-04,9.529999999999999583e-02,1.970000000000000084e-01,1.279659999999999940e+02,3.165460000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
6.510000000000000231e-01,6.390000000000000124e-01,3.000000000000000000e+00,-7.836000000000000298e+00,0.000000000000000000e+00,5.829999999999999766e-02,1.899999999999999953e-02,0.000000000000000000e+00,5.220000000000000334e-02,7.580000000000000071e-01,1.577379999999999995e+02,2.474400000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000133e-01,8.519999999999999796e-01,5.000000000000000000e+00,-6.809999999999999609e+00,0.000000000000000000e+00,3.899999999999999994e-02,4.179999999999999688e-03,1.080000000000000036e-06,1.459999999999999909e-01,8.609999999999999876e-01,1.450089999999999861e+02,1.900000000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
9.010000000000000231e-01,9.389999999999999458e-01,6.000000000000000000e+00,-2.762000000000000011e+00,1.000000000000000000e+00,2.740000000000000213e-01,1.170000000000000068e-01,0.000000000000000000e+00,6.429999999999999605e-02,8.050000000000000488e-01,1.429480000000000075e+02,3.563470000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
7.970000000000000417e-01,6.540000000000000258e-01,8.000000000000000000e+00,-7.373000000000000220e+00,1.000000000000000000e+00,2.449999999999999956e-01,6.330000000000000071e-01,0.000000000000000000e+00,1.059999999999999970e-01,6.400000000000000133e-01,1.451210000000000093e+02,1.725200000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
